customer_city,marital_status,gender,num_children_at_home,income,age,store_type,highOrLow,education,member_card,occupation,homeowner
Burien,S,M,0,140000,26,No Store,0,High School Degree,Bronze,Professional,Y
Tacoma,S,M,0,60000,24,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Seattle,M,M,1,80000,22,Supermarket,0,Bachelors Degree,Bronze,Management,Y
Renton,S,M,0,60000,85,No Store,0,Bachelors Degree,Bronze,Professional,N
Walla Walla,M,F,3,20000,41,Small Grocery,0,Partial High School,Normal,Skilled Manual,Y
Seattle,S,F,0,20000,48,Supermarket,0,Partial High School,Normal,Manual,N
Marysville,M,M,3,80000,19,No Store,0,Partial High School,Silver,Professional,Y
Yakima,M,M,0,80000,40,Mid-Size Grocery,0,Bachelors Degree,Bronze,Professional,N
Marysville,M,F,3,40000,28,No Store,0,High School Degree,Golden,Skilled Manual,Y
Everett,S,M,0,60000,67,No Store,0,High School Degree,Bronze,Manual,N
Walla Walla,S,F,0,80000,37,Small Grocery,0,Bachelors Degree,Bronze,Management,N
Edmonds,M,M,1,40000,37,No Store,0,High School Degree,Silver,Manual,Y
Sedro Woolley,M,F,1,120000,66,No Store,0,Graduate Degree,Bronze,Professional,Y
Ballard,S,F,0,140000,58,No Store,0,High School Degree,Bronze,Professional,Y
Everett,S,M,0,40000,28,No Store,0,High School Degree,Bronze,Manual,N
Redmond,S,M,0,40000,39,No Store,0,Bachelors Degree,Bronze,Management,N
Anacortes,M,F,5,80000,39,No Store,0,Partial College,Bronze,Professional,Y
Olympia,M,F,1,40000,83,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Bremerton,S,F,0,40000,73,Supermarket,0,High School Degree,Normal,Manual,Y
Kirkland,M,F,1,60000,21,No Store,0,Bachelors Degree,Silver,Management,Y
Edmonds,M,M,1,20000,69,No Store,0,Partial High School,Normal,Manual,N
Walla Walla,M,F,1,20000,77,Small Grocery,0,Partial High School,Normal,Skilled Manual,Y
Yakima,M,M,1,20000,36,Mid-Size Grocery,0,Partial High School,Normal,Skilled Manual,Y
Issaquah,S,F,0,120000,26,No Store,0,Partial High School,Bronze,Professional,Y
Bremerton,S,M,0,40000,40,Supermarket,0,High School Degree,Bronze,Skilled Manual,N
Bellingham,M,F,4,20000,83,Small Grocery,0,Partial High School,Normal,Skilled Manual,Y
Olympia,M,M,5,40000,71,No Store,1,High School Degree,Golden,Manual,Y
Issaquah,M,M,4,20000,61,No Store,0,Partial High School,Bronze,Manual,Y
Ballard,S,F,0,120000,40,No Store,0,Partial College,Bronze,Professional,Y
Seattle,S,M,0,20000,39,Supermarket,0,Partial High School,Normal,Manual,Y
Lynnwood,S,F,0,40000,24,No Store,0,High School Degree,Bronze,Manual,Y
Yakima,M,M,0,80000,43,Mid-Size Grocery,0,Bachelors Degree,Golden,Management,N
Kirkland,S,M,0,20000,41,No Store,0,Partial High School,Normal,Manual,N
Spokane,S,M,0,20000,78,Supermarket,1,Partial High School,Normal,Skilled Manual,N
Marysville,M,F,2,40000,18,No Store,0,Partial College,Bronze,Manual,Y
Yakima,M,F,3,20000,82,Mid-Size Grocery,0,Partial High School,Normal,Skilled Manual,N
Ballard,M,F,1,60000,81,No Store,0,Bachelors Degree,Bronze,Professional,N
Ballard,S,M,0,60000,19,No Store,0,Partial College,Bronze,Clerical,N
Redmond,S,M,0,40000,51,No Store,0,High School Degree,Bronze,Manual,N
Puyallup,M,F,1,20000,87,No Store,0,Partial High School,Normal,Skilled Manual,N
Walla Walla,S,M,0,40000,28,Small Grocery,0,High School Degree,Bronze,Skilled Manual,N
Port Orchard,M,M,3,20000,33,No Store,0,Partial High School,Normal,Skilled Manual,Y
Tacoma,M,M,2,140000,80,Deluxe Supermarket,0,High School Degree,Silver,Management,N
Tacoma,S,F,0,60000,49,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,N
Marysville,M,F,3,60000,85,No Store,0,Bachelors Degree,Golden,Professional,Y
Yakima,M,M,2,80000,30,Mid-Size Grocery,1,Graduate Degree,Bronze,Professional,N
Puyallup,M,F,0,40000,74,No Store,0,Partial College,Bronze,Manual,Y
Marysville,S,F,0,20000,43,No Store,0,Partial High School,Normal,Skilled Manual,N
Walla Walla,M,M,1,40000,62,Small Grocery,0,High School Degree,Bronze,Manual,N
Olympia,M,M,2,40000,26,No Store,0,Partial College,Bronze,Professional,Y
Issaquah,M,F,3,40000,50,No Store,0,High School Degree,Normal,Manual,Y
Bellingham,M,F,2,40000,54,Small Grocery,0,High School Degree,Silver,Skilled Manual,Y
Lynnwood,M,F,4,20000,57,No Store,0,Partial High School,Normal,Skilled Manual,Y
Edmonds,M,M,3,140000,38,No Store,0,Graduate Degree,Golden,Professional,Y
Walla Walla,M,F,3,120000,24,Small Grocery,0,Partial High School,Golden,Management,Y
Anacortes,S,M,0,60000,85,No Store,0,Bachelors Degree,Bronze,Professional,Y
Olympia,S,M,0,20000,60,No Store,0,Partial High School,Normal,Manual,N
Yakima,S,M,0,40000,25,Mid-Size Grocery,0,High School Degree,Bronze,Manual,N
Lynnwood,S,F,0,40000,21,No Store,0,Partial High School,Bronze,Skilled Manual,Y
Issaquah,M,M,1,20000,24,No Store,0,Partial High School,Normal,Manual,Y
Issaquah,M,M,0,20000,63,No Store,0,Partial High School,Normal,Manual,N
Renton,S,F,0,140000,62,No Store,0,Partial College,Bronze,Management,Y
Ballard,M,M,0,40000,32,No Store,0,High School Degree,Silver,Skilled Manual,Y
Spokane,M,F,2,40000,42,Supermarket,1,Bachelors Degree,Bronze,Management,Y
Renton,M,F,0,60000,47,No Store,0,Bachelors Degree,Bronze,Professional,Y
Bremerton,S,M,0,80000,84,Supermarket,0,Bachelors Degree,Silver,Professional,N
Puyallup,S,F,0,80000,71,No Store,0,Bachelors Degree,Golden,Professional,N
Seattle,S,F,0,120000,71,Supermarket,0,Partial High School,Bronze,Professional,Y
Spokane,M,F,2,100000,78,Supermarket,1,Graduate Degree,Bronze,Professional,N
Seattle,M,F,1,80000,46,Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Seattle,S,M,0,40000,59,Supermarket,0,High School Degree,Bronze,Skilled Manual,Y
Lynnwood,S,F,0,60000,72,No Store,0,Partial College,Bronze,Professional,Y
Redmond,M,M,0,40000,45,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Puyallup,S,F,0,80000,67,No Store,0,Bachelors Degree,Bronze,Professional,N
Renton,S,F,0,20000,80,No Store,0,Bachelors Degree,Normal,Professional,Y
Edmonds,M,M,3,40000,38,No Store,0,High School Degree,Normal,Manual,Y
Lynnwood,S,F,0,120000,85,No Store,0,High School Degree,Bronze,Professional,Y
Tacoma,S,M,0,60000,73,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Burien,S,F,0,60000,85,No Store,0,Bachelors Degree,Silver,Professional,N
Puyallup,M,M,1,80000,77,No Store,0,Bachelors Degree,Bronze,Professional,Y
Port Orchard,S,F,0,150000,68,No Store,0,High School Degree,Silver,Professional,Y
Everett,S,M,0,40000,77,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Anacortes,S,M,0,20000,43,No Store,0,Partial High School,Normal,Skilled Manual,N
Kirkland,M,M,4,20000,54,No Store,0,Partial High School,Normal,Skilled Manual,Y
Sedro Woolley,M,F,0,40000,57,No Store,0,High School Degree,Bronze,Manual,Y
Olympia,S,M,0,20000,42,No Store,1,Partial High School,Normal,Manual,Y
Issaquah,S,M,0,120000,55,No Store,0,High School Degree,Bronze,Management,Y
Burien,S,F,0,60000,69,No Store,0,Partial College,Bronze,Clerical,N
Bellingham,M,M,3,20000,79,Small Grocery,0,Partial High School,Normal,Skilled Manual,Y
Bremerton,M,M,2,40000,64,Supermarket,0,Partial College,Bronze,Professional,N
Port Orchard,S,F,0,20000,52,No Store,0,Partial High School,Normal,Manual,N
Spokane,S,M,0,20000,71,Supermarket,1,Partial High School,Normal,Skilled Manual,N
Issaquah,M,M,2,80000,21,No Store,0,Bachelors Degree,Bronze,Professional,Y
Lynnwood,S,F,0,40000,49,No Store,0,High School Degree,Bronze,Manual,Y
Spokane,M,F,0,80000,84,Supermarket,1,Bachelors Degree,Bronze,Professional,Y
Ballard,S,F,0,40000,24,No Store,0,Partial College,Bronze,Professional,N
Sedro Woolley,M,M,1,80000,27,No Store,0,Bachelors Degree,Bronze,Professional,Y
Puyallup,M,F,3,40000,54,No Store,0,Partial College,Golden,Professional,Y
Renton,M,F,0,80000,34,No Store,0,High School Degree,Bronze,Professional,Y
Tacoma,S,M,0,100000,74,Deluxe Supermarket,0,Partial High School,Bronze,Management,Y
Port Orchard,S,F,0,20000,32,No Store,0,Partial High School,Normal,Skilled Manual,Y
Ballard,S,M,0,40000,57,No Store,0,Partial College,Bronze,Manual,N
Port Orchard,M,F,3,120000,79,No Store,0,High School Degree,Golden,Management,Y
Tacoma,M,M,4,40000,80,Deluxe Supermarket,0,High School Degree,Golden,Manual,Y
Spokane,S,F,0,20000,39,Supermarket,1,Partial High School,Normal,Manual,Y
Everett,S,F,0,120000,76,No Store,0,Bachelors Degree,Bronze,Professional,Y
Ballard,S,F,0,80000,20,No Store,0,Partial High School,Normal,Professional,N
Burien,S,M,0,20000,73,No Store,0,Partial High School,Normal,Manual,Y
Anacortes,M,F,1,140000,25,No Store,0,Bachelors Degree,Bronze,Management,Y
Redmond,M,F,1,40000,76,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Olympia,S,F,0,120000,84,No Store,0,Bachelors Degree,Bronze,Management,Y
Issaquah,M,M,3,100000,34,No Store,0,Bachelors Degree,Golden,Management,N
Bremerton,S,F,0,20000,74,Supermarket,0,Partial High School,Normal,Skilled Manual,N
Bellingham,S,F,0,40000,84,Small Grocery,0,High School Degree,Bronze,Manual,N
Puyallup,M,M,0,40000,34,No Store,0,Partial College,Bronze,Management,N
Bellingham,S,M,0,60000,27,Small Grocery,0,Bachelors Degree,Bronze,Management,N
Edmonds,M,F,2,60000,41,No Store,0,Partial College,Bronze,Skilled Manual,N
Yakima,M,F,2,80000,61,Mid-Size Grocery,0,Graduate Degree,Bronze,Professional,Y
Spokane,M,M,1,60000,21,Supermarket,1,Bachelors Degree,Bronze,Professional,Y
Redmond,S,F,0,60000,82,No Store,0,Partial College,Silver,Management,N
Bremerton,M,M,0,120000,64,Supermarket,0,Partial High School,Bronze,Professional,Y
Edmonds,M,F,0,120000,53,No Store,0,Graduate Degree,Silver,Management,Y
Issaquah,S,M,0,40000,46,No Store,0,Partial College,Normal,Management,Y
Lynnwood,M,F,2,60000,81,No Store,0,Partial High School,Silver,Manual,N
Spokane,M,M,1,80000,77,Supermarket,1,Graduate Degree,Bronze,Management,Y
Bellingham,S,F,0,140000,33,Small Grocery,0,High School Degree,Bronze,Professional,Y
Spokane,M,F,0,80000,32,Supermarket,1,Bachelors Degree,Bronze,Professional,N
Yakima,M,M,3,20000,68,Mid-Size Grocery,0,Partial High School,Normal,Manual,Y
Renton,S,M,0,40000,60,No Store,0,High School Degree,Golden,Manual,N
Olympia,M,M,1,80000,32,No Store,0,Bachelors Degree,Bronze,Management,Y
Ballard,M,F,4,40000,48,No Store,0,Partial College,Normal,Clerical,Y
Edmonds,S,M,0,60000,25,No Store,0,Bachelors Degree,Silver,Professional,Y
Walla Walla,M,F,0,40000,19,Small Grocery,0,High School Degree,Bronze,Skilled Manual,Y
Lynnwood,M,F,1,80000,72,No Store,0,Bachelors Degree,Silver,Professional,Y
Sedro Woolley,M,F,3,60000,20,No Store,0,Bachelors Degree,Golden,Management,Y
Edmonds,M,M,0,40000,38,No Store,0,Partial College,Bronze,Clerical,Y
Puyallup,S,F,0,20000,36,No Store,0,Partial High School,Normal,Skilled Manual,Y
Issaquah,M,F,0,20000,29,No Store,0,Partial High School,Normal,Skilled Manual,Y
Everett,S,M,0,80000,67,No Store,0,Graduate Degree,Normal,Management,N
Walla Walla,S,F,0,80000,69,Small Grocery,0,Graduate Degree,Golden,Management,Y
Spokane,M,M,1,40000,61,Supermarket,1,Partial High School,Bronze,Skilled Manual,Y
Tacoma,S,F,0,60000,76,Deluxe Supermarket,0,High School Degree,Silver,Skilled Manual,Y
Port Orchard,M,M,0,100000,79,No Store,0,Bachelors Degree,Bronze,Management,Y
Yakima,S,F,0,40000,57,Mid-Size Grocery,0,High School Degree,Bronze,Manual,N
Anacortes,M,F,1,60000,59,No Store,0,Bachelors Degree,Bronze,Professional,Y
Port Orchard,S,M,0,40000,76,No Store,0,High School Degree,Bronze,Manual,Y
Bremerton,M,F,0,80000,45,Supermarket,0,Bachelors Degree,Normal,Professional,Y
Kirkland,M,M,4,40000,43,No Store,0,High School Degree,Silver,Skilled Manual,N
Edmonds,M,F,2,40000,84,No Store,0,High School Degree,Bronze,Manual,N
Kirkland,M,M,2,40000,26,No Store,0,Partial High School,Bronze,Skilled Manual,N
Lynnwood,M,M,1,40000,67,No Store,0,High School Degree,Bronze,Manual,Y
Marysville,M,M,0,140000,30,No Store,0,High School Degree,Bronze,Management,Y
Issaquah,S,F,0,20000,37,No Store,0,Partial High School,Normal,Manual,Y
Bremerton,M,F,2,80000,66,Supermarket,1,High School Degree,Normal,Management,Y
Burien,M,F,4,60000,43,No Store,0,Bachelors Degree,Bronze,Professional,Y
Bellingham,S,F,0,20000,46,Small Grocery,0,Partial High School,Normal,Manual,Y
Renton,M,F,0,60000,42,No Store,0,Bachelors Degree,Bronze,Professional,Y
Renton,M,F,3,40000,55,No Store,0,High School Degree,Golden,Manual,Y
Sedro Woolley,S,M,0,80000,51,No Store,0,Bachelors Degree,Bronze,Professional,N
Olympia,M,M,1,40000,59,No Store,0,Partial High School,Normal,Manual,Y
Issaquah,S,M,0,40000,52,No Store,0,Partial College,Bronze,Professional,Y
Renton,M,F,0,20000,52,No Store,0,Partial High School,Normal,Manual,Y
Bremerton,M,F,0,40000,39,Supermarket,0,Partial College,Bronze,Management,N
Sedro Woolley,M,M,2,40000,43,No Store,0,Partial College,Silver,Professional,N
Seattle,M,F,3,60000,49,Supermarket,0,Bachelors Degree,Golden,Management,Y
Issaquah,S,F,0,80000,59,No Store,0,Bachelors Degree,Bronze,Professional,N
Spokane,S,M,0,20000,41,Supermarket,1,Partial High School,Normal,Skilled Manual,Y
Renton,M,M,1,40000,44,No Store,0,Partial College,Normal,Skilled Manual,Y
Walla Walla,M,F,1,100000,58,Small Grocery,0,Graduate Degree,Golden,Professional,Y
Tacoma,M,F,3,40000,47,Deluxe Supermarket,0,High School Degree,Golden,Manual,Y
Edmonds,S,M,0,20000,72,No Store,0,Partial High School,Normal,Manual,N
Kirkland,M,F,2,20000,22,No Store,0,Partial High School,Normal,Manual,Y
Walla Walla,M,F,0,120000,43,Small Grocery,0,High School Degree,Bronze,Professional,Y
Edmonds,M,F,0,40000,19,No Store,0,High School Degree,Bronze,Manual,N
Yakima,S,F,0,40000,31,Mid-Size Grocery,0,Partial High School,Bronze,Skilled Manual,Y
Everett,M,F,1,80000,58,No Store,0,Bachelors Degree,Bronze,Management,Y
Redmond,S,M,0,40000,83,No Store,0,High School Degree,Bronze,Manual,Y
Everett,M,F,0,150000,48,No Store,0,High School Degree,Golden,Professional,Y
Port Orchard,S,M,0,20000,65,No Store,0,Partial High School,Normal,Skilled Manual,N
Sedro Woolley,M,F,0,40000,69,No Store,0,High School Degree,Bronze,Manual,Y
Olympia,M,M,0,80000,67,No Store,0,Bachelors Degree,Bronze,Professional,Y
Edmonds,S,M,0,40000,27,No Store,0,Partial College,Bronze,Management,N
Kirkland,S,M,0,100000,20,No Store,0,High School Degree,Silver,Professional,Y
Port Orchard,M,F,4,40000,29,No Store,0,High School Degree,Golden,Skilled Manual,Y
Walla Walla,M,M,4,20000,60,Small Grocery,0,Partial High School,Normal,Skilled Manual,Y
Port Orchard,S,F,0,60000,63,No Store,0,Bachelors Degree,Bronze,Professional,N
Issaquah,M,F,0,80000,25,No Store,0,Bachelors Degree,Bronze,Professional,Y
Port Orchard,M,M,0,60000,35,No Store,0,Partial High School,Bronze,Manual,Y
Edmonds,M,M,5,60000,49,No Store,0,Bachelors Degree,Golden,Management,Y
Burien,S,M,0,80000,31,No Store,0,High School Degree,Bronze,Professional,N
Everett,M,M,1,20000,77,No Store,0,Partial High School,Normal,Manual,N
Puyallup,S,F,0,20000,47,No Store,1,Partial High School,Normal,Manual,N
Spokane,S,F,0,40000,44,Supermarket,0,High School Degree,Bronze,Manual,Y
Seattle,M,M,1,120000,66,Supermarket,0,High School Degree,Bronze,Professional,Y
Renton,M,M,3,40000,42,No Store,0,Partial College,Golden,Professional,N
Bremerton,S,M,0,40000,47,Supermarket,1,Partial College,Bronze,Manual,N
Kirkland,M,M,0,20000,78,No Store,0,Partial High School,Normal,Skilled Manual,N
Redmond,M,M,1,20000,84,No Store,0,Partial High School,Normal,Skilled Manual,Y
Olympia,S,F,0,40000,43,No Store,0,High School Degree,Bronze,Manual,N
Burien,M,M,0,60000,39,No Store,0,Bachelors Degree,Bronze,Professional,Y
Tacoma,M,F,1,80000,43,Deluxe Supermarket,0,High School Degree,Normal,Professional,Y
Yakima,S,F,0,40000,19,Mid-Size Grocery,0,High School Degree,Bronze,Manual,Y
Issaquah,M,F,0,40000,74,No Store,0,High School Degree,Bronze,Manual,Y
Bellingham,M,F,4,40000,64,Small Grocery,0,Partial High School,Silver,Manual,Y
Tacoma,S,F,0,60000,22,Deluxe Supermarket,0,High School Degree,Golden,Skilled Manual,N
Kirkland,S,M,0,60000,71,No Store,0,Bachelors Degree,Bronze,Professional,N
Yakima,M,F,0,120000,69,Mid-Size Grocery,0,Bachelors Degree,Bronze,Professional,Y
Marysville,S,M,0,40000,81,No Store,0,High School Degree,Bronze,Skilled Manual,N
Seattle,M,M,1,40000,85,Supermarket,0,High School Degree,Bronze,Manual,Y
Issaquah,M,M,4,20000,26,No Store,0,Partial High School,Normal,Skilled Manual,N
Olympia,S,M,0,40000,68,No Store,0,High School Degree,Normal,Skilled Manual,N
Marysville,M,F,0,20000,67,No Store,0,Partial High School,Normal,Manual,Y
Ballard,S,F,0,20000,39,No Store,0,Partial High School,Normal,Manual,Y
Sedro Woolley,S,M,0,40000,39,No Store,0,High School Degree,Bronze,Manual,Y
Spokane,M,F,2,60000,62,Supermarket,1,Bachelors Degree,Bronze,Professional,N
Edmonds,S,F,0,100000,76,No Store,0,Partial High School,Bronze,Professional,Y
Bellingham,S,M,0,20000,47,Small Grocery,0,Partial High School,Normal,Skilled Manual,N
Seattle,S,F,0,140000,59,Supermarket,0,Graduate Degree,Bronze,Professional,Y
Marysville,S,M,0,20000,69,No Store,0,Partial High School,Normal,Manual,Y
Anacortes,S,M,0,60000,84,No Store,0,Bachelors Degree,Bronze,Professional,N
Port Orchard,S,M,0,60000,50,No Store,0,Bachelors Degree,Bronze,Professional,N
Kirkland,S,F,0,40000,55,No Store,0,High School Degree,Bronze,Manual,Y
Yakima,M,M,0,60000,81,Mid-Size Grocery,0,Bachelors Degree,Bronze,Professional,Y
Renton,S,M,0,40000,83,No Store,0,High School Degree,Bronze,Manual,Y
Issaquah,S,M,0,40000,36,No Store,0,High School Degree,Bronze,Manual,Y
Burien,S,M,0,40000,61,No Store,0,Partial College,Bronze,Clerical,N
Walla Walla,S,F,0,60000,63,Small Grocery,0,Bachelors Degree,Bronze,Professional,Y
Bremerton,M,F,4,60000,39,Supermarket,0,Partial High School,Golden,Skilled Manual,Y
Seattle,S,F,0,20000,22,Supermarket,0,Partial High School,Normal,Skilled Manual,Y
Ballard,S,F,0,80000,52,No Store,0,Bachelors Degree,Bronze,Professional,N
Bellingham,M,F,0,60000,53,Small Grocery,0,Bachelors Degree,Bronze,Professional,Y
Redmond,M,M,0,60000,43,No Store,0,Bachelors Degree,Silver,Professional,Y
Marysville,S,F,0,140000,86,No Store,0,Partial High School,Bronze,Professional,N
Olympia,M,F,1,20000,50,No Store,1,Partial High School,Silver,Manual,N
Lynnwood,M,F,2,20000,42,No Store,0,Partial High School,Normal,Manual,Y
Renton,M,F,1,20000,66,No Store,0,Partial High School,Normal,Skilled Manual,Y
Edmonds,S,F,0,20000,71,No Store,0,Partial High School,Normal,Skilled Manual,Y
Yakima,S,F,0,60000,87,Mid-Size Grocery,0,High School Degree,Bronze,Skilled Manual,N
Renton,M,M,1,140000,41,No Store,0,Graduate Degree,Bronze,Professional,Y
Ballard,M,M,5,80000,36,No Store,0,Bachelors Degree,Normal,Management,N
Anacortes,S,F,0,40000,41,No Store,0,High School Degree,Bronze,Manual,Y
Marysville,M,F,2,60000,51,No Store,0,Bachelors Degree,Bronze,Professional,Y
Seattle,M,M,2,40000,84,Supermarket,0,High School Degree,Normal,Manual,Y
Bellingham,M,M,0,150000,33,Small Grocery,0,Bachelors Degree,Golden,Professional,N
Port Orchard,S,F,0,20000,48,No Store,0,Partial High School,Normal,Skilled Manual,N
Renton,M,M,0,20000,39,No Store,0,Partial High School,Normal,Manual,Y
Puyallup,S,M,0,20000,86,No Store,0,High School Degree,Golden,Manual,N
Everett,S,F,0,80000,36,No Store,0,Partial High School,Bronze,Management,N
Olympia,S,F,0,60000,43,No Store,0,Bachelors Degree,Bronze,Professional,N
Bremerton,S,F,0,20000,66,Supermarket,1,Partial High School,Normal,Manual,N
Puyallup,S,F,0,40000,58,No Store,0,Partial College,Bronze,Management,N
Kirkland,M,F,1,20000,53,No Store,0,Partial High School,Normal,Skilled Manual,N
Yakima,M,M,1,20000,80,Mid-Size Grocery,0,Partial High School,Normal,Skilled Manual,Y
Walla Walla,S,M,0,20000,65,Small Grocery,0,Partial High School,Normal,Manual,N
Port Orchard,S,F,0,40000,29,No Store,0,High School Degree,Bronze,Manual,Y
Walla Walla,S,M,0,20000,64,Small Grocery,0,Partial High School,Normal,Manual,N
Burien,M,F,2,40000,78,No Store,0,Partial College,Normal,Professional,Y
Issaquah,S,F,0,40000,54,No Store,0,High School Degree,Bronze,Manual,Y
Puyallup,S,F,0,20000,75,No Store,0,Partial High School,Normal,Skilled Manual,N
Redmond,M,M,0,40000,46,No Store,0,High School Degree,Bronze,Manual,Y
Seattle,S,F,0,40000,47,Supermarket,0,Partial High School,Bronze,Manual,N
Olympia,M,F,4,20000,47,No Store,1,Partial High School,Normal,Skilled Manual,Y
Olympia,M,F,1,80000,32,No Store,0,Graduate Degree,Bronze,Professional,Y
Burien,S,F,0,40000,60,No Store,0,Partial High School,Bronze,Manual,N
Walla Walla,M,M,0,40000,40,Small Grocery,0,Partial High School,Bronze,Skilled Manual,Y
Edmonds,M,F,2,40000,45,No Store,0,High School Degree,Bronze,Skilled Manual,N
Ballard,M,F,0,100000,48,No Store,0,Graduate Degree,Bronze,Professional,Y
Marysville,S,M,0,20000,74,No Store,0,Partial High School,Normal,Manual,Y
Lynnwood,S,M,0,40000,51,No Store,0,High School Degree,Bronze,Manual,N
Anacortes,S,M,0,100000,26,No Store,0,Partial High School,Normal,Professional,Y
Puyallup,S,F,0,40000,46,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Sedro Woolley,M,F,0,40000,39,No Store,0,High School Degree,Silver,Manual,Y
Seattle,M,F,4,20000,37,Supermarket,0,Partial High School,Normal,Skilled Manual,Y
Port Orchard,M,M,3,100000,35,No Store,0,Bachelors Degree,Golden,Professional,Y
Yakima,S,M,0,40000,33,Mid-Size Grocery,0,High School Degree,Bronze,Skilled Manual,Y
Renton,M,F,0,140000,50,No Store,0,Partial High School,Bronze,Professional,Y
Bellingham,S,M,0,60000,20,Small Grocery,0,Bachelors Degree,Bronze,Management,Y
Port Orchard,S,F,0,120000,21,No Store,0,Bachelors Degree,Bronze,Professional,Y
Port Orchard,M,M,0,40000,33,No Store,0,High School Degree,Bronze,Skilled Manual,N
Kirkland,S,F,0,60000,63,No Store,0,Bachelors Degree,Bronze,Professional,N
Edmonds,M,M,0,120000,48,No Store,0,High School Degree,Silver,Professional,Y
Walla Walla,S,F,0,40000,44,Small Grocery,0,High School Degree,Bronze,Manual,Y
Port Orchard,M,M,2,40000,78,No Store,0,High School Degree,Bronze,Manual,Y
Burien,M,M,1,40000,43,No Store,0,Partial High School,Bronze,Skilled Manual,Y
Issaquah,S,M,0,40000,83,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Puyallup,M,M,1,60000,82,No Store,0,Bachelors Degree,Silver,Professional,Y
Redmond,S,M,0,60000,35,No Store,0,Bachelors Degree,Bronze,Professional,N
Bremerton,S,F,0,40000,67,Supermarket,0,High School Degree,Bronze,Skilled Manual,N
Renton,S,M,0,60000,58,No Store,0,Bachelors Degree,Golden,Professional,N
Seattle,S,M,0,40000,87,Supermarket,0,Partial College,Bronze,Management,N
Spokane,M,F,2,80000,51,Supermarket,1,Bachelors Degree,Bronze,Professional,N
Olympia,S,M,0,60000,88,No Store,0,Bachelors Degree,Bronze,Professional,N
Burien,S,M,0,100000,21,No Store,0,Partial High School,Bronze,Professional,Y
Walla Walla,M,F,4,60000,71,Small Grocery,0,Bachelors Degree,Golden,Professional,Y
Olympia,M,F,1,40000,47,No Store,1,Bachelors Degree,Bronze,Professional,Y
Bremerton,M,F,1,40000,41,Supermarket,0,Partial College,Silver,Clerical,Y
Tacoma,S,M,0,100000,41,Deluxe Supermarket,0,Partial High School,Bronze,Management,Y
Lynnwood,M,M,1,60000,18,No Store,0,Bachelors Degree,Bronze,Management,Y
Marysville,M,M,4,140000,71,No Store,0,High School Degree,Golden,Professional,Y
Walla Walla,M,F,1,20000,86,Small Grocery,0,Partial High School,Normal,Manual,N
Olympia,S,F,0,20000,62,No Store,0,Partial High School,Normal,Skilled Manual,Y
Spokane,M,M,1,80000,56,Supermarket,1,Bachelors Degree,Golden,Management,Y
Marysville,M,F,4,150000,57,No Store,0,Partial High School,Golden,Professional,Y
Port Orchard,M,F,1,150000,74,No Store,0,Partial High School,Golden,Professional,Y
Kirkland,M,M,1,40000,57,No Store,0,Partial College,Bronze,Management,N
Everett,S,M,0,60000,81,No Store,0,Bachelors Degree,Bronze,Professional,Y
Edmonds,S,F,0,60000,37,No Store,0,Bachelors Degree,Golden,Management,N
Kirkland,M,M,0,80000,56,No Store,0,High School Degree,Bronze,Management,Y
Port Orchard,M,F,1,80000,49,No Store,0,Graduate Degree,Silver,Management,Y
Kirkland,S,F,0,150000,83,No Store,0,High School Degree,Silver,Professional,N
Lynnwood,S,F,0,40000,41,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Lynnwood,S,M,0,80000,54,No Store,0,Partial College,Bronze,Professional,Y
Lynnwood,M,F,0,20000,84,No Store,0,Partial High School,Normal,Manual,N
Walla Walla,S,F,0,140000,84,Small Grocery,0,Bachelors Degree,Bronze,Professional,Y
Anacortes,S,M,0,40000,23,No Store,0,High School Degree,Bronze,Skilled Manual,N
Issaquah,M,M,1,20000,39,No Store,0,Partial High School,Normal,Skilled Manual,N
Walla Walla,M,F,5,20000,33,Small Grocery,0,Partial High School,Normal,Manual,Y
Redmond,S,F,0,60000,26,No Store,0,Bachelors Degree,Bronze,Management,Y
Walla Walla,M,M,1,40000,75,Small Grocery,0,Partial High School,Bronze,Skilled Manual,Y
Redmond,M,M,5,40000,71,No Store,0,High School Degree,Golden,Skilled Manual,Y
Burien,M,F,1,40000,79,No Store,0,Partial College,Golden,Skilled Manual,Y
Bremerton,M,M,2,40000,46,Supermarket,0,High School Degree,Golden,Skilled Manual,Y
Olympia,M,M,3,140000,64,No Store,1,High School Degree,Golden,Professional,Y
Spokane,S,M,0,80000,69,Supermarket,1,Bachelors Degree,Bronze,Professional,Y
Bremerton,S,M,0,40000,80,Supermarket,0,High School Degree,Bronze,Skilled Manual,N
Bellingham,S,M,0,60000,55,Small Grocery,0,Bachelors Degree,Bronze,Management,N
Bremerton,S,M,0,120000,84,Supermarket,0,High School Degree,Bronze,Management,Y
